concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,body_system,progressive,cc_decimal_removal
9694,M1A.00,"Idiopathic chronic gout, unspecified site",ICD10CM,10,metabolic,no,FALSE
9694,M1A00,"Idiopathic chronic gout, unspecified site",ICD10CM,10,metabolic,no,TRUE
9695,M1A.011,"Idiopathic chronic gout, right shoulder",ICD10CM,10,metabolic,no,FALSE
9695,M1A011,"Idiopathic chronic gout, right shoulder",ICD10CM,10,metabolic,no,TRUE
9696,M1A.012,"Idiopathic chronic gout, left shoulder",ICD10CM,10,metabolic,no,FALSE
9696,M1A012,"Idiopathic chronic gout, left shoulder",ICD10CM,10,metabolic,no,TRUE
9697,M1A.019,"Idiopathic chronic gout, unspecified shoulder",ICD10CM,10,metabolic,no,FALSE
9697,M1A019,"Idiopathic chronic gout, unspecified shoulder",ICD10CM,10,metabolic,no,TRUE
9698,M1A.021,"Idiopathic chronic gout, right elbow",ICD10CM,10,metabolic,no,FALSE
9698,M1A021,"Idiopathic chronic gout, right elbow",ICD10CM,10,metabolic,no,TRUE
9699,M1A.022,"Idiopathic chronic gout, left elbow",ICD10CM,10,metabolic,no,FALSE
9699,M1A022,"Idiopathic chronic gout, left elbow",ICD10CM,10,metabolic,no,TRUE
9700,M1A.029,"Idiopathic chronic gout, unspecified elbow",ICD10CM,10,metabolic,no,FALSE
9700,M1A029,"Idiopathic chronic gout, unspecified elbow",ICD10CM,10,metabolic,no,TRUE
9701,M1A.031,"Idiopathic chronic gout, right wrist",ICD10CM,10,metabolic,no,FALSE
9701,M1A031,"Idiopathic chronic gout, right wrist",ICD10CM,10,metabolic,no,TRUE
9702,M1A.032,"Idiopathic chronic gout, left wrist",ICD10CM,10,metabolic,no,FALSE
9702,M1A032,"Idiopathic chronic gout, left wrist",ICD10CM,10,metabolic,no,TRUE
9703,M1A.039,"Idiopathic chronic gout, unspecified wrist",ICD10CM,10,metabolic,no,FALSE
9703,M1A039,"Idiopathic chronic gout, unspecified wrist",ICD10CM,10,metabolic,no,TRUE
9704,M1A.041,"Idiopathic chronic gout, right hand",ICD10CM,10,metabolic,no,FALSE
9704,M1A041,"Idiopathic chronic gout, right hand",ICD10CM,10,metabolic,no,TRUE
9705,M1A.042,"Idiopathic chronic gout, left hand",ICD10CM,10,metabolic,no,FALSE
9705,M1A042,"Idiopathic chronic gout, left hand",ICD10CM,10,metabolic,no,TRUE
9706,M1A.049,"Idiopathic chronic gout, unspecified hand",ICD10CM,10,metabolic,no,FALSE
9706,M1A049,"Idiopathic chronic gout, unspecified hand",ICD10CM,10,metabolic,no,TRUE
9707,M1A.051,"Idiopathic chronic gout, right hip",ICD10CM,10,metabolic,no,FALSE
9707,M1A051,"Idiopathic chronic gout, right hip",ICD10CM,10,metabolic,no,TRUE
9708,M1A.052,"Idiopathic chronic gout, left hip",ICD10CM,10,metabolic,no,FALSE
9708,M1A052,"Idiopathic chronic gout, left hip",ICD10CM,10,metabolic,no,TRUE
9709,M1A.059,"Idiopathic chronic gout, unspecified hip",ICD10CM,10,metabolic,no,FALSE
9709,M1A059,"Idiopathic chronic gout, unspecified hip",ICD10CM,10,metabolic,no,TRUE
9710,M1A.061,"Idiopathic chronic gout, right knee",ICD10CM,10,metabolic,no,FALSE
9710,M1A061,"Idiopathic chronic gout, right knee",ICD10CM,10,metabolic,no,TRUE
9711,M1A.062,"Idiopathic chronic gout, left knee",ICD10CM,10,metabolic,no,FALSE
9711,M1A062,"Idiopathic chronic gout, left knee",ICD10CM,10,metabolic,no,TRUE
9712,M1A.069,"Idiopathic chronic gout, unspecified knee",ICD10CM,10,metabolic,no,FALSE
