concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
8691,O33.7,Maternal care for disproportion due to other fetal deformities,ICD10CM,10,FALSE
8691,O337,Maternal care for disproportion due to other fetal deformities,ICD10CM,10,TRUE
10039,O32.0,Maternal care for unstable lie,ICD10CM,10,FALSE
10039,O320,Maternal care for unstable lie,ICD10CM,10,TRUE
10040,O32.1,Maternal care for breech presentation,ICD10CM,10,FALSE
10040,O321,Maternal care for breech presentation,ICD10CM,10,TRUE
10041,O32.2,Maternal care for transverse and oblique lie,ICD10CM,10,FALSE
10041,O322,Maternal care for transverse and oblique lie,ICD10CM,10,TRUE
10042,O32.3,"Maternal care for face, brow and chin presentation",ICD10CM,10,FALSE
10042,O323,"Maternal care for face, brow and chin presentation",ICD10CM,10,TRUE
10043,O32.4,Maternal care for high head at term,ICD10CM,10,FALSE
10043,O324,Maternal care for high head at term,ICD10CM,10,TRUE
10044,O32.6,Maternal care for compound presentation,ICD10CM,10,FALSE
10044,O326,Maternal care for compound presentation,ICD10CM,10,TRUE
10045,O32.8,Maternal care for other malpresentation of fetus,ICD10CM,10,FALSE
10045,O328,Maternal care for other malpresentation of fetus,ICD10CM,10,TRUE
10046,O32.9,"Maternal care for malpresentation of fetus, unspecified",ICD10CM,10,FALSE
10046,O329,"Maternal care for malpresentation of fetus, unspecified",ICD10CM,10,TRUE
10047,O33.4,Maternal care for disproportion of mixed maternal and fetal origin,ICD10CM,10,FALSE
10047,O334,Maternal care for disproportion of mixed maternal and fetal origin,ICD10CM,10,TRUE
10048,O33.6,Maternal care for disproportion due to hydrocephalic fetus,ICD10CM,10,FALSE
10048,O336,Maternal care for disproportion due to hydrocephalic fetus,ICD10CM,10,TRUE
10049,O35.0,Maternal care for (suspected) central nervous system malformation in fetus,ICD10CM,10,FALSE
10049,O350,Maternal care for (suspected) central nervous system malformation in fetus,ICD10CM,10,TRUE
10050,O35.1,Maternal care for (suspected) chromosomal abnormality in fetus,ICD10CM,10,FALSE
10050,O351,Maternal care for (suspected) chromosomal abnormality in fetus,ICD10CM,10,TRUE
10051,O35.2,Maternal care for (suspected) hereditary disease in fetus,ICD10CM,10,FALSE
10051,O352,Maternal care for (suspected) hereditary disease in fetus,ICD10CM,10,TRUE
10052,O35.3,Maternal care for (suspected) damage to fetus from viral disease in mother,ICD10CM,10,FALSE
10052,O353,Maternal care for (suspected) damage to fetus from viral disease in mother,ICD10CM,10,TRUE
10053,O35.4,Maternal care for (suspected) damage to fetus from alcohol,ICD10CM,10,FALSE
10053,O354,Maternal care for (suspected) damage to fetus from alcohol,ICD10CM,10,TRUE
10054,O35.5,Maternal care for (suspected) damage to fetus by drugs,ICD10CM,10,FALSE
10054,O355,Maternal care for (suspected) damage to fetus by drugs,ICD10CM,10,TRUE
10055,O35.6,Maternal care for (suspected) damage to fetus by radiation,ICD10CM,10,FALSE
10055,O356,Maternal care for (suspected) damage to fetus by radiation,ICD10CM,10,TRUE
10056,O35.7,Maternal care for (suspected) damage to fetus by other medical procedures,ICD10CM,10,FALSE
10056,O357,Maternal care for (suspected) damage to fetus by other medical procedures,ICD10CM,10,TRUE
10057,O35.8,Maternal care for other (suspected) fetal abnormality and damage,ICD10CM,10,FALSE
10057,O358,Maternal care for other (suspected) fetal abnormality and damage,ICD10CM,10,TRUE
10058,O35.9,"Maternal care for (suspected) fetal abnormality and damage, unspecified",ICD10CM,10,FALSE
10058,O359,"Maternal care for (suspected) fetal abnormality and damage, unspecified",ICD10CM,10,TRUE
10079,O36.4,Maternal care for intrauterine death,ICD10CM,10,FALSE
10079,O364,Maternal care for intrauterine death,ICD10CM,10,TRUE
10147,O64.0,Obstructed labor due to incomplete rotation of fetal head,ICD10CM,10,FALSE
10147,O640,Obstructed labor due to incomplete rotation of fetal head,ICD10CM,10,TRUE
10148,O64.1,Obstructed labor due to breech presentation,ICD10CM,10,FALSE
10148,O641,Obstructed labor due to breech presentation,ICD10CM,10,TRUE
10149,O64.2,Obstructed labor due to face presentation,ICD10CM,10,FALSE
10149,O642,Obstructed labor due to face presentation,ICD10CM,10,TRUE
10150,O64.3,Obstructed labor due to brow presentation,ICD10CM,10,FALSE
10150,O643,Obstructed labor due to brow presentation,ICD10CM,10,TRUE
10151,O64.4,Obstructed labor due to shoulder presentation,ICD10CM,10,FALSE
10151,O644,Obstructed labor due to shoulder presentation,ICD10CM,10,TRUE
10152,O64.5,Obstructed labor due to compound presentation,ICD10CM,10,FALSE
10152,O645,Obstructed labor due to compound presentation,ICD10CM,10,TRUE
