concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,cc_decimal_removal
8691,O33.7,Maternal care for disproportion due to other fetal deformities,ICD10CM,10,FALSE
10019,O31.00,"Papyraceous fetus, unspecified trimester",ICD10CM,10,FALSE
10020,O31.01,"Papyraceous fetus, first trimester",ICD10CM,10,FALSE
10021,O31.02,"Papyraceous fetus, second trimester",ICD10CM,10,FALSE
10022,O31.03,"Papyraceous fetus, third trimester",ICD10CM,10,FALSE
10023,O31.10,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester",ICD10CM,10,FALSE
10024,O31.11,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester",ICD10CM,10,FALSE
10025,O31.12,"Continuing pregnancy after spontaneous abortion of one fetus or more, second trimester",ICD10CM,10,FALSE
10026,O31.13,"Continuing pregnancy after spontaneous abortion of one fetus or more, third trimester",ICD10CM,10,FALSE
10027,O31.20,"Continuing pregnancy after intrauterine death of one fetus or more, unspecified trimester",ICD10CM,10,FALSE
10028,O31.21,"Continuing pregnancy after intrauterine death of one fetus or more, first trimester",ICD10CM,10,FALSE
10029,O31.22,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester",ICD10CM,10,FALSE
10030,O31.23,"Continuing pregnancy after intrauterine death of one fetus or more, third trimester",ICD10CM,10,FALSE
10031,O31.30,"Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester",ICD10CM,10,FALSE
10032,O31.31,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester",ICD10CM,10,FALSE
10033,O31.32,"Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester",ICD10CM,10,FALSE
10034,O31.33,"Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester",ICD10CM,10,FALSE
10035,O31.8X1,"Other complications specific to multiple gestation, first trimester",ICD10CM,10,FALSE
10036,O31.8X2,"Other complications specific to multiple gestation, second trimester",ICD10CM,10,FALSE
10037,O31.8X3,"Other complications specific to multiple gestation, third trimester",ICD10CM,10,FALSE
10038,O31.8X9,"Other complications specific to multiple gestation, unspecified trimester",ICD10CM,10,FALSE
10040,O32.1,Maternal care for breech presentation,ICD10CM,10,FALSE
10041,O32.2,Maternal care for transverse and oblique lie,ICD10CM,10,FALSE
10043,O32.4,Maternal care for high head at term,ICD10CM,10,FALSE
10044,O32.6,Maternal care for compound presentation,ICD10CM,10,FALSE
10045,O32.8,Maternal care for other malpresentation of fetus,ICD10CM,10,FALSE
10046,O32.9,"Maternal care for malpresentation of fetus, unspecified",ICD10CM,10,FALSE
10047,O33.4,Maternal care for disproportion of mixed maternal and fetal origin,ICD10CM,10,FALSE
10048,O33.6,Maternal care for disproportion due to hydrocephalic fetus,ICD10CM,10,FALSE
10049,O35.0,Maternal care for (suspected) central nervous system malformation in fetus,ICD10CM,10,FALSE
10050,O35.1,Maternal care for (suspected) chromosomal abnormality in fetus,ICD10CM,10,FALSE
10051,O35.2,Maternal care for (suspected) hereditary disease in fetus,ICD10CM,10,FALSE
10052,O35.3,Maternal care for (suspected) damage to fetus from viral disease in mother,ICD10CM,10,FALSE
10053,O35.4,Maternal care for (suspected) damage to fetus from alcohol,ICD10CM,10,FALSE
10054,O35.5,Maternal care for (suspected) damage to fetus by drugs,ICD10CM,10,FALSE
10055,O35.6,Maternal care for (suspected) damage to fetus by radiation,ICD10CM,10,FALSE
10056,O35.7,Maternal care for (suspected) damage to fetus by other medical procedures,ICD10CM,10,FALSE
10057,O35.8,Maternal care for other (suspected) fetal abnormality and damage,ICD10CM,10,FALSE
10058,O35.9,"Maternal care for (suspected) fetal abnormality and damage, unspecified",ICD10CM,10,FALSE
10059,O36.011,"Maternal care for anti-D [Rh] antibodies, first trimester",ICD10CM,10,FALSE
10060,O36.012,"Maternal care for anti-D [Rh] antibodies, second trimester",ICD10CM,10,FALSE
10061,O36.013,"Maternal care for anti-D [Rh] antibodies, third trimester",ICD10CM,10,FALSE
10062,O36.019,"Maternal care for anti-D [Rh] antibodies, unspecified trimester",ICD10CM,10,FALSE
10063,O36.091,"Maternal care for other rhesus isoimmunization, first trimester",ICD10CM,10,FALSE
10064,O36.092,"Maternal care for other rhesus isoimmunization, second trimester",ICD10CM,10,FALSE
10065,O36.093,"Maternal care for other rhesus isoimmunization, third trimester",ICD10CM,10,FALSE
10066,O36.099,"Maternal care for other rhesus isoimmunization, unspecified trimester",ICD10CM,10,FALSE
10068,O36.112,"Maternal care for Anti-A sensitization, second trimester",ICD10CM,10,FALSE
10069,O36.113,"Maternal care for Anti-A sensitization, third trimester",ICD10CM,10,FALSE
10070,O36.119,"Maternal care for Anti-A sensitization, unspecified trimester",ICD10CM,10,FALSE
10071,O36.191,"Maternal care for other isoimmunization, first trimester",ICD10CM,10,FALSE
10072,O36.192,"Maternal care for other isoimmunization, second trimester",ICD10CM,10,FALSE
10073,O36.193,"Maternal care for other isoimmunization, third trimester",ICD10CM,10,FALSE
10074,O36.199,"Maternal care for other isoimmunization, unspecified trimester",ICD10CM,10,FALSE
10075,O36.20,"Maternal care for hydrops fetalis, unspecified trimester",ICD10CM,10,FALSE
10076,O36.21,"Maternal care for hydrops fetalis, first trimester",ICD10CM,10,FALSE
10077,O36.22,"Maternal care for hydrops fetalis, second trimester",ICD10CM,10,FALSE
10078,O36.23,"Maternal care for hydrops fetalis, third trimester",ICD10CM,10,FALSE
10079,O36.4,Maternal care for intrauterine death,ICD10CM,10,FALSE
10080,O36.511,"Maternal care for known or suspected placental insufficiency, first trimester",ICD10CM,10,FALSE
10081,O36.512,"Maternal care for known or suspected placental insufficiency, second trimester",ICD10CM,10,FALSE
10082,O36.513,"Maternal care for known or suspected placental insufficiency, third trimester",ICD10CM,10,FALSE
10083,O36.519,"Maternal care for known or suspected placental insufficiency, unspecified trimester",ICD10CM,10,FALSE
10084,O36.591,"Maternal care for other known or suspected poor fetal growth, first trimester",ICD10CM,10,FALSE
10085,O36.592,"Maternal care for other known or suspected poor fetal growth, second trimester",ICD10CM,10,FALSE
10086,O36.593,"Maternal care for other known or suspected poor fetal growth, third trimester",ICD10CM,10,FALSE
10087,O36.599,"Maternal care for other known or suspected poor fetal growth, unspecified trimester",ICD10CM,10,FALSE
10088,O36.60,"Maternal care for excessive fetal growth, unspecified trimester",ICD10CM,10,FALSE
10089,O36.61,"Maternal care for excessive fetal growth, first trimester",ICD10CM,10,FALSE
10090,O36.62,"Maternal care for excessive fetal growth, second trimester",ICD10CM,10,FALSE
10091,O36.63,"Maternal care for excessive fetal growth, third trimester",ICD10CM,10,FALSE
10092,O36.70,"Maternal care for viable fetus in abdominal pregnancy, unspecified trimester",ICD10CM,10,FALSE
10093,O36.71,"Maternal care for viable fetus in abdominal pregnancy, first trimester",ICD10CM,10,FALSE
10094,O36.72,"Maternal care for viable fetus in abdominal pregnancy, second trimester",ICD10CM,10,FALSE
10095,O36.73,"Maternal care for viable fetus in abdominal pregnancy, third trimester",ICD10CM,10,FALSE
10096,O36.80,Pregnancy with inconclusive fetal viability,ICD10CM,10,FALSE
10097,O36.812,"Decreased fetal movements, second trimester",ICD10CM,10,FALSE
10098,O36.813,"Decreased fetal movements, third trimester",ICD10CM,10,FALSE
10099,O36.819,"Decreased fetal movements, unspecified trimester",ICD10CM,10,FALSE
10100,O36.821,"Fetal anemia and thrombocytopenia, first trimester",ICD10CM,10,FALSE
10101,O36.822,"Fetal anemia and thrombocytopenia, second trimester",ICD10CM,10,FALSE
10102,O36.823,"Fetal anemia and thrombocytopenia, third trimester",ICD10CM,10,FALSE
10103,O36.829,"Fetal anemia and thrombocytopenia, unspecified trimester",ICD10CM,10,FALSE
10104,O36.891,"Maternal care for other specified fetal problems, first trimester",ICD10CM,10,FALSE
10105,O36.892,"Maternal care for other specified fetal problems, second trimester",ICD10CM,10,FALSE
10106,O36.893,"Maternal care for other specified fetal problems, third trimester",ICD10CM,10,FALSE
10107,O36.899,"Maternal care for other specified fetal problems, unspecified trimester",ICD10CM,10,FALSE
