input_str,concept_id,concept_code,concept_name,vocabulary_id,pcornet_vocabulary_id,concept_class_id,systemic
amikacin,44993533,004091955,"AMIKACIN SULFATE 100 mg/2mL INJECTION, SOLUTION [AMIKACIN Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,45351970,004091956,"AMIKACIN SULFATE 500 mg/2mL INJECTION, SOLUTION [AMIKACIN Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,44891824,004091957,"AMIKACIN SULFATE 1 g/4mL INJECTION, SOLUTION [AMIKACIN Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,44469159,006416166,amikacin sulfate 250mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION,NDC,ND,9-digit NDC,TRUE
amikacin,44469160,006416167,amikacin sulfate 250mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION,NDC,ND,9-digit NDC,TRUE
amikacin,45301930,007039032,"amikacin sulfate 500mg/2mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,44909940,007039040,"amikacin sulfate 1g/4mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,45217131,023155290,"Amikacin Sulfate INTRAMUSCULAR; INTRAVENOUS 20131224 INJECTION, SOLUTION [Amikacin Sulfate] ## FDA",NDC,ND,9-digit NDC,TRUE
amikacin,45200668,055390223,"Amikacin Sulfate 50 mg/mL INJECTION, SOLUTION [Amikacin Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,45149358,055390224,"Amikacin Sulfate 250 mg/mL INJECTION, SOLUTION [Amikacin Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,45115477,055390225,"Amikacin Sulfate 50 mg/mL INJECTION, SOLUTION [Amikacin Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,45371329,055390226,"Amikacin Sulfate 250 mg/mL INJECTION, SOLUTION [Amikacin Sulfate]",NDC,ND,9-digit NDC,TRUE
amikacin,45811898,231550290,"amikacin sulfate 250mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,1220909,231550785,"amikacin sulfate 500mg/2mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,1220910,231550786,"amikacin sulfate 1g/4mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,44472346,250210173,"amikacin sulfate 250mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,45838160,553900226,"amikacin sulfate 250mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,44484642,633230815,"amikacin sulfate 250mg/mL INTRAMUSCULAR; INTRAVENOUS INJECTION, SOLUTION",NDC,ND,9-digit NDC,TRUE
amikacin,35524159,715580590,amikacin 590mg/8.4mL RESPIRATORY (INHALATION) SUSPENSION,NDC,ND,9-digit NDC,TRUE
amikacin,35606018,1723155,amikacin Injection,RxNorm,RX,Clinical Drug Form,TRUE
amikacin,37499288,2285804,amikacin Inhalation Suspension,RxNorm,RX,Clinical Drug Form,TRUE
amikacin,40008548,370563,amikacin Injectable Solution,RxNorm,RX,Clinical Drug Form,TRUE
amikacin,44043385,OMOP1038016,Amikacin Intramuscular Solution,RxNorm Extension,RX,Clinical Drug Form,TRUE
amikacin,42480797,OMOP417779,Amikacin Prefilled Syringe,RxNorm Extension,RX,Clinical Drug Form,TRUE
amikacin,40721707,OMOP4735435,Amikacin Ophthalmic Solution,RxNorm Extension,RX,Clinical Drug Form,FALSE
amikacin,36782305,OMOP4770589,Amikacin Intravenous Solution,RxNorm Extension,RX,Clinical Drug Form,TRUE
amikacin,2047724,OMOP4948055,amikacin Topical Gel,RxNorm Extension,RX,Clinical Drug Form,FALSE
amikacin,35858630,OMOP5014964,amikacin Topical Solution,RxNorm Extension,RX,Clinical Drug Form,FALSE
amikacin,35858631,OMOP5014965,amikacin Topical Ointment,RxNorm Extension,RX,Clinical Drug Form,FALSE
amikacin,36118706,OMOP5049092,amikacin Inhalation Solution,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,45198370,004693051,"amphotericin b 50mg/12.5mL INTRAVENOUS INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",NDC,ND,9-digit NDC,TRUE
amphotericin B,45064449,057665101,"amphotericin b, dimyristoylphosphatidylcholine, dl- and dimyristoylphosphatidylglycerol, dl- 5; 3.4; 1.5 mg/mL; mg/mL; mg/mL INJECTION [ABELCET]",NDC,ND,9-digit NDC,TRUE
amphotericin B,45098769,066435301,"Amphotericin B 50 mg/50mg INJECTION, LIPID COMPLEX [AMPHOTEC]",NDC,ND,9-digit NDC,TRUE
amphotericin B,45371632,066435302,"Amphotericin B 100 mg/100mg INJECTION, LIPID COMPLEX [AMPHOTEC]",NDC,ND,9-digit NDC,TRUE
amphotericin B,45340576,398221055,"amphotericin b 50mg/10mL INTRAVENOUS INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",NDC,ND,9-digit NDC,TRUE
amphotericin B,45839711,576650101,"amphotericin b, dimyristoylphosphatidylcholine, dl- and dimyristoylphosphatidylglycerol, dl- 5mg/mL / 1.5mg/mL / 3.4mg/mL INTRAVENOUS INJECTION",NDC,ND,9-digit NDC,TRUE
amphotericin B,45851688,664350301,"amphotericin b 50mg/50mg INTRAVENOUS INJECTION, LIPID COMPLEX [amphotec]",NDC,ND,9-digit NDC,TRUE
amphotericin B,45851689,664350302,"amphotericin b 100mg/100mg INTRAVENOUS INJECTION, LIPID COMPLEX [amphotec]",NDC,ND,9-digit NDC,TRUE
amphotericin B,35604134,1737431,amphotericin B Injection,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,37499295,2285811,amphotericin B Injectable Solution,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009646,370583,amphotericin B Oral Suspension,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009649,370894,amphotericin B Oral Tablet,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009588,374059,amphotericin B / tetracycline Oral Capsule,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009589,374060,amphotericin B / tetracycline Oral Solution,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009644,374833,amphotericin B Oral Lozenge,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009654,376438,amphotericin B Topical Ointment,RxNorm,RX,Clinical Drug Form,FALSE
amphotericin B,40009652,377580,amphotericin B Topical Lotion,RxNorm,RX,Clinical Drug Form,FALSE
amphotericin B,40009650,378973,amphotericin B Topical Cream,RxNorm,RX,Clinical Drug Form,FALSE
amphotericin B,40009645,437552,amphotericin B Oral Capsule,RxNorm,RX,Clinical Drug Form,TRUE
amphotericin B,40009594,437694,amphotericin B / triamcinolone Topical Cream,RxNorm,RX,Clinical Drug Form,FALSE
amphotericin B,40009595,437695,amphotericin B / triamcinolone Topical Ointment,RxNorm,RX,Clinical Drug Form,FALSE
amphotericin B,44043374,OMOP1038005,Amphotericin B Intravenous Suspension,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,40862190,OMOP2060152,Amphotericin B / Gramicidin / Neomycin / Triamcinolone Topical Cream,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,41017892,OMOP2215854,Amphotericin B / Triamcinolone Medicated Shampoo,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,41049155,OMOP2247117,Amphotericin B / Tetracycline Vaginal Tablet,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,41080565,OMOP2278527,Amphotericin B / Tetracycline / Triamcinolone Oral Tablet,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,41111889,OMOP2309851,Amphotericin B / Gramicidin / Neomycin / Triamcinolone Topical Ointment,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,41174426,OMOP2372388,Amphotericin B / Gramicidin / Neomycin / Tetracycline / Triamcinolone Oral Tablet,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,41236863,OMOP2434825,Amphotericin B / Triamcinolone Oral Tablet,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,41298846,OMOP2496808,Amphotericin B Topical Solution,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,21086376,OMOP278097,Amphotericin B Ophthalmic Solution,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,42479718,OMOP419977,Amphotericin B Injectable Suspension,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,42481479,OMOP419978,Amphotericin B Oral Solution,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,42482639,OMOP419979,Amphotericin B Prefilled Syringe,RxNorm Extension,RX,Clinical Drug Form,TRUE
amphotericin B,43679574,OMOP901142,Amphotericin B Vaginal Tablet,RxNorm Extension,RX,Clinical Drug Form,FALSE
amphotericin B,43693828,OMOP958436,Amphotericin B Vaginal Cream,RxNorm Extension,RX,Clinical Drug Form,FALSE
aspirin,44467201,000236010,"butalbital, aspirin, caffeine, and codeine phosphate 30mg/1 / 40mg/1 / 50mg/1 / 325mg/1 ORAL CAPSULE",NDC,ND,9-digit NDC,TRUE
aspirin,36189186,000236146,"butalbital, aspirin, and caffeine 40mg/1 / 50mg/1 / 325mg/1 ORAL CAPSULE",NDC,ND,9-digit NDC,TRUE
aspirin,46365970,000540575,aspirin and dipyridamole 25mg/1 / 200mg/1 ORAL CAPSULE,NDC,ND,9-digit NDC,TRUE
aspirin,45213436,000670143,"aspirin 500mg/1 ORAL TABLET, FILM COATED [ascriptin maximum strength buffered aspirin]",NDC,ND,9-digit NDC,TRUE
aspirin,44889815,000670149,"aspirin 325mg/1 ORAL TABLET, FILM COATED [ascriptin regular strength buffered aspirin]",NDC,ND,9-digit NDC,TRUE
aspirin,44855665,000672000,"acetaminophen, aspirin (nsaid), and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin extra strength pain reliever]",NDC,ND,9-digit NDC,TRUE
aspirin,37601201,000672001,"acetaminophen, aspirin (nsaid), and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin extra strength pain reliever]",NDC,ND,9-digit NDC,TRUE
aspirin,44974724,000672030,"acetaminophen, aspirin (nsaid), and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin extra strength]",NDC,ND,9-digit NDC,TRUE
aspirin,45281872,000672037,"acetaminophen, aspirin and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin migraine]",NDC,ND,9-digit NDC,TRUE
aspirin,45094080,000672039,"acetaminophen, aspirin (nsaid) and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin migraine]",NDC,ND,9-digit NDC,TRUE
aspirin,36385057,000672040,"acetaminophen, aspirin, and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin migraine]",NDC,ND,9-digit NDC,TRUE
aspirin,45804465,000672056,"acetaminophen, aspirin (nsaid) and diphenhydramine citrate 38mg/1 / 250mg/1 ORAL TABLET, COATED",NDC,ND,9-digit NDC,TRUE
aspirin,44991619,000676238,"acetaminophen, aspirin 250mg/1 ORAL TABLET, FILM COATED [excedrin back and body]",NDC,ND,9-digit NDC,TRUE
aspirin,44855680,000676424,aspirin 81mg/1 ORAL TABLET [bufferin low dose buffered aspirin],NDC,ND,9-digit NDC,TRUE
aspirin,45127953,000678103,"acetaminophen, aspirin (nsaid) and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin migraine]",NDC,ND,9-digit NDC,TRUE
aspirin,45077193,000678104,"acetaminophen, aspirin (nsaid), and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin extra strength caplets]",NDC,ND,9-digit NDC,TRUE
aspirin,42849086,000678147,"acetaminophen, aspirin (nsaid), caffeine, and diphenhydramine citrate KIT",NDC,ND,9-digit NDC,TRUE
aspirin,36199422,000678148,"acetaminophen, aspirin (nsaid), caffeine, and diphenhydramine citrate KIT",NDC,ND,9-digit NDC,TRUE
aspirin,35529305,000678151,"acetaminophen, aspirin (nsaid), and caffeine KIT",NDC,ND,9-digit NDC,TRUE
aspirin,37495130,000678201,"acetaminophen, aspirin (nsaid) and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin migraine]",NDC,ND,9-digit NDC,TRUE
aspirin,36918000,000678202,"acetaminophen, aspirin (nsaid), and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin extra strength pain reliever]",NDC,ND,9-digit NDC,TRUE
aspirin,1220614,000678203,"acetaminophen, aspirin (nsaid), and caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [excedrin extra strength pain reliever]",NDC,ND,9-digit NDC,TRUE
aspirin,46365981,000890231,"orphenadrine citrate, aspirin and caffeine 25mg/1 / 30mg/1 / 385mg/1 ORAL TABLET, MULTILAYER [norgesic]",NDC,ND,9-digit NDC,TRUE
aspirin,46365982,000890233,"orphenadrine citrate, aspirin and caffeine 50mg/1 / 60mg/1 / 770mg/1 ORAL TABLET, MULTILAYER [norgesic forte]",NDC,ND,9-digit NDC,TRUE
aspirin,46245038,000933040,"aspirin and dipyridamole 25mg/1 / 200mg/1 ORAL CAPSULE, EXTENDED RELEASE",NDC,ND,9-digit NDC,TRUE
aspirin,35904253,000933064,"aspirin and dipyridamole 25mg/1 / 200mg/1 ORAL CAPSULE, EXTENDED RELEASE",NDC,ND,9-digit NDC,TRUE
aspirin,45094483,001130259,"aspirin 81mg/1 ORAL TABLET, CHEWABLE",NDC,ND,9-digit NDC,TRUE
aspirin,45094485,001130274,"aspirin 81mg/1 ORAL TABLET, CHEWABLE",NDC,ND,9-digit NDC,TRUE
aspirin,45043413,001130277,"aspirin 81mg/1 ORAL TABLET, FILM COATED [good sense aspirin]",NDC,ND,9-digit NDC,TRUE
aspirin,44924377,001130374,"acetaminophen, aspirin, caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,44890233,001130416,"aspirin 325mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,44907522,001130430,"acetaminophen, aspirin, caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED [good sense headache formula added strength]",NDC,ND,9-digit NDC,TRUE
aspirin,45179529,001130467,"aspirin 81mg/1 ORAL TABLET, CHEWABLE",NDC,ND,9-digit NDC,TRUE
aspirin,44890241,001130535,"aspirin 81mg/1 ORAL TABLET, DELAYED RELEASE [good sense aspirin enteric safety coated]",NDC,ND,9-digit NDC,TRUE
aspirin,42833705,001130773,"aspirin 325mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,45043429,001131411,aspirin 325mg/1 ORAL TABLET [smart health aspirin regular strength],NDC,ND,9-digit NDC,TRUE
aspirin,37301040,001131919,"aspirin 325mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,36601309,001137374,"acetaminophen, aspirin, caffeine 65mg/1 / 250mg/1 ORAL TABLET, FILM COATED",NDC,ND,9-digit NDC,TRUE
aspirin,36601310,001137467,"aspirin 81mg/1 ORAL TABLET, CHEWABLE",NDC,ND,9-digit NDC,TRUE
aspirin,44467572,001151711,"aspirin and dipyridamole 25mg/1 / 200mg/1 ORAL CAPSULE, EXTENDED RELEASE",NDC,ND,9-digit NDC,TRUE
aspirin,44958224,001350014,"aspirin 325 mg/1 TABLET, COATED [ECOTRIN]",NDC,ND,9-digit NDC,TRUE
aspirin,45179611,001350117,"aspirin 81 mg/1 TABLET, COATED [ECOTRIN]",NDC,ND,9-digit NDC,TRUE
aspirin,44941521,001350462,"acetaminophen, aspirin, and caffeine 325; 500; 65 mg/1; mg/1; mg/1 POWDER [Goodys]",NDC,ND,9-digit NDC,TRUE
aspirin,45350556,001350499,aspirin and caffeine 845; 65 mg/1; mg/1 POWDER [STANBACK],NDC,ND,9-digit NDC,TRUE
aspirin,44873118,001350500,aspirin and caffeine 845; 65 mg/1; mg/1 POWDER [BC],NDC,ND,9-digit NDC,TRUE
aspirin,45026551,001350501,aspirin and caffeine 1000; 65 mg/1; mg/1 POWDER [BC],NDC,ND,9-digit NDC,TRUE
aspirin,45333497,001431785,"butalbital, aspirin and caffeine 40mg/1 / 50mg/1 / 325mg/1 ORAL TABLET",NDC,ND,9-digit NDC,TRUE
aspirin,45333787,001821061,"Aspirin 81 mg/1 TABLET, COATED [Aspirin EC]",NDC,ND,9-digit NDC,TRUE
aspirin,44924881,001850713,"Orphenadrine Citrate, Aspirin and Caffeine 385; 30; 25 mg/1; mg/1; mg/1 TABLET, MULTILAYER [Orphenadrine Citrate, Aspirin and Caffeine]",NDC,ND,9-digit NDC,TRUE
aspirin,44975612,001850714,"Orphenadrine Citrate, Aspirin and Caffeine 770; 60; 50 mg/1; mg/1; mg/1 TABLET, MULTILAYER [Orphenadrine Citrate, Aspirin and Caffeine]",NDC,ND,9-digit NDC,TRUE
aspirin,45145850,001850724,carisoprodol and aspirin 200mg/1 / 325mg/1 ORAL TABLET,NDC,ND,9-digit NDC,TRUE
aspirin,44890751,001850749,"carisoprodol, aspirin and codeine phosphate 16mg/1 / 200mg/1 / 325mg/1 ORAL TABLET",NDC,ND,9-digit NDC,TRUE
aspirin,37292244,002800020,"aspirin, chlorpheniramine maleate, phenylephrine bitartrate 2mg/1 / 7mg/1 / 325mg/1 ORAL TABLET, EFFERVESCENT [alka-seltzer plus severe cold powerfast fizz orange zest]",NDC,ND,9-digit NDC,TRUE
aspirin,36988641,002800021,"aspirin, dextromethorphan hydrobromide, doxylamine succinate, phenylephrine bitartrate 10mg/1 / 500mg/1 / 7.8mg/1 / 6.25mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,36988645,002800025,"aspirin, dextromethorphan hydrobromide, phenylephrine bitartrate, doxylamine succinate ORAL KIT",NDC,ND,9-digit NDC,TRUE
aspirin,45804763,002800052,"aspirin, dextromethorphan hydrobromide, doxylamine succinate, and phenylephrine bitartrate 10mg/1 / 500mg/1 / 7.8mg/1 / 6.25mg/1 ORAL TABLET, EFFERVESCENT [alka-seltzer plus night cold formula (lemon)]",NDC,ND,9-digit NDC,TRUE
aspirin,36115422,002800060,"aspirin, chlorpheniramine maleate, phenylephrine bitartrate 2mg/1 / 325mg/1 / 7.8mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
aspirin,832287,002800064,aspirin and caffeine 500mg/1 / 32.5mg/1 ORAL TABLET,NDC,ND,9-digit NDC,TRUE
aspirin,36127820,002800068,"aspirin, doxylamine succinate, dextromethorphan hydrobromide, phenylephrine bitartrate 10mg/1 / 325mg/1 / 7.8mg/1 / 6.25mg/1 ORAL TABLET, EFFERVESCENT",NDC,ND,9-digit NDC,TRUE
