"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3000837,"20621-9","Albumin/Creatinine [Presence] in Urine by Test strip","LOINC","LC"
1175719,"89998-9","Microalbumin/Creatinine [Ratio] in Urine by Detection limit <= 3.0 mg/L","LOINC","LC"
3034485,"9318-7","Albumin/Creatinine [Mass Ratio] in Urine","LOINC","LC"
37023830,"LP386991-6","Microalbumin/Creatinine ratio panel | Urine | Chemistry Panels","LOINC","LC"
3022826,"30000-4","Microalbumin/Creatinine [Ratio] in Urine","LOINC","LC"
3023556,"30001-2","Microalbumin/Creatinine [Ratio] in Urine by Test strip","LOINC","LC"
3043209,"44292-1","Microalbumin/Creatinine [Mass Ratio] in 12 hour Urine","LOINC","LC"
36662598,"LG51020-2","Albumin/Creatinine|Presence or Threshold|Moment in time|Any Urine specimen","LOINC","LC"
37040063,"LP384505-6","Albumin/Creatinine | Urine | Chemistry - non-challenge","LOINC","LC"
3000819,"13705-9","Albumin/Creatinine [Mass Ratio] in 24 hour Urine","LOINC","LC"
3002812,"14585-4","Albumin/Creatinine [Molar ratio] in Urine","LOINC","LC"
3002827,"14958-3","Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine","LOINC","LC"
3001802,"14959-1","Microalbumin/Creatinine [Mass Ratio] in Urine","LOINC","LC"
3020682,"32294-1","Albumin/Creatinine [Ratio] in Urine","LOINC","LC"
3044897,"34535-5","Microalbumin/Creatinine panel in random Urine","LOINC","LC"
40761548,"58447-4","Microalbumin/Creatinine panel in 24H Urine","LOINC","LC"
40762252,"59159-4","Microalbumin/Creatinine [Ratio] in 24 hour Urine","LOINC","LC"
46235897,"76401-9","Albumin/Creatinine [Ratio] in 24 hour Urine","LOINC","LC"
46235434,"77253-3","Microalbumin/Creatinine [Ratio] in Urine by Detection limit <= 1.0 mg/L","LOINC","LC"
46235435,"77254-1","Microalbumin/Creatinine [Ratio] in 24 hour Urine by Detection limit <= 1.0 mg/L","LOINC","LC"
36660325,"95233-3","Microalbumin/Creatinine Qualitative in Urine by Test strip","LOINC","LC"
36031496,"96085-6","HEDIS MY 2020 Value Set - Urine Albumin Creatinine Ratio Lab Test","LOINC","LC"
40652526,"LG11837-8","Albumin/Creatinine|Ratio|Moment in time|Any Urine specimen","LOINC","LC"
40655885,"LG34557-5","Albumin/Creatinine|Mass Ratio|Urine","LOINC","LC"
40655886,"LG35830-5","Albumin/Creatinine|Ratio|Urine","LOINC","LC"
40656314,"LG36111-9","Microalbumin/Creatinine ratio panel|-|Urine","LOINC","LC"
36034248,"LP420749-6","HEDIS MY 2020 Value Set - Urine Albumin Creatinine Ratio Lab Test","LOINC","LC"
36033631,"LP420900-5","HEDIS MY 2020 Value Set - Urine Albumin Creatinine Ratio Lab Test | Patient | HEDIS panels","LOINC","LC"
