"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
40652539,"LG5562-6","Albumin|Mass Rate|24 hours|Any Urine specimen","LOINC","LC"
40655891,"LG35055-9","Albumin|Mass Rate|Urine","LOINC","LC"
3027035,"1755-8","Albumin [Mass/time] in 24 hour Urine","LOINC","LC"
3018097,"6941-9","Albumin [Mass/time] in 24 hour Urine by Electrophoresis","LOINC","LC"
3008960,"21059-1","Albumin [Mass/volume] in 24 hour Urine","LOINC","LC"
3030511,"51190-7","Albumin [Mass/volume] in 24 hour Urine by Electrophoresis","LOINC","LC"
3012516,"1754-1","Albumin [Mass/volume] in Urine","LOINC","LC"
3008512,"6942-7","Albumin [Mass/volume] in Urine by Electrophoresis","LOINC","LC"
1177413,"LG50092-2","Albumin|Moment in time|Urine|Detection limit <= 3.0 mg/L|2754.105 g/mole","LOINC","LC"
3036634,"29946-1","Albumin [Presence] in 24 hour Urine by Electrophoresis","LOINC","LC"
3025987,"1753-3","Albumin [Presence] in Urine","LOINC","LC"
3029937,"50949-7","Albumin [Presence] in Urine by Test strip","LOINC","LC"
40652540,"LG5481-9","Albumin|Presence or Threshold|Moment in time|Any Urine specimen","LOINC","LC"
40655892,"LG35053-4","Albumin|Presence or Threshold|Urine","LOINC","LC"
37058540,"LP384503-1","Albumin ug/min | Urine | Chemistry - non-challenge","LOINC","LC"
40773229,"LP41466-1","Albumin | Urine","LOINC","LC"
36660977,"LP418437-2","Albumin | Urine | Chemistry - challenge","LOINC","LC"
37058684,"LP384489-3","Albumin | Urine | Chemistry - non-challenge","LOINC","LC"
1177471,"LG50093-0","Albumin|Urine/Urine sed","LOINC","LC"
37030118,"LP175658-6","HEDIS 2014, 2015 Value Set - Urine Macroalbumin Tests","LOINC","LC"
44786914,"74259-3","HEDIS 2014, 2015 Value Set - Urine Macroalbumin Tests","LOINC","LC"
37043809,"LP404549-0","HEDIS 2014, 2015 Value Set - Urine Macroalbumin Tests | Patient | HEDIS panels","LOINC","LC"
36031983,"96084-9","HEDIS MY 2020 Value Set - Quantitative Urine Albumin Lab Test","LOINC","LC"
36033913,"LP420748-8","HEDIS MY 2020 Value Set - Quantitative Urine Albumin Lab Test","LOINC","LC"
36033329,"LP420899-9","HEDIS MY 2020 Value Set - Quantitative Urine Albumin Lab Test | Patient | HEDIS panels","LOINC","LC"
40656530,"LG37541-6","Microalbumin|Mass Rate|Urine","LOINC","LC"
3043771,"43607-1","Microalbumin [Mass/time] in 12 hour Urine","LOINC","LC"
40766204,"63474-1","Microalbumin [Mass/time] in 18 hour Urine","LOINC","LC"
3005577,"14956-7","Microalbumin [Mass/time] in 24 hour Urine","LOINC","LC"
3040290,"53532-8","Microalbumin [Mass/time] in 24 hour Urine by Detection limit <= 1.0 mg/L","LOINC","LC"
1175782,"90000-1","Microalbumin [Mass/time] in 24 hour Urine by Detection limit <= 3.0 mg/L","LOINC","LC"
3043179,"43606-3","Microalbumin [Mass/time] in 4 hour Urine","LOINC","LC"
40759673,"56553-1","Microalbumin [Mass/time] in 8 hour Urine","LOINC","LC"
40760483,"57369-1","Microalbumin [Mass/volume] in 12 hour Urine","LOINC","LC"
3005031,"30003-8","Microalbumin [Mass/volume] in 24 hour Urine","LOINC","LC"
3039436,"53530-2","Microalbumin [Mass/volume] in 24 hour Urine by Detection limit <= 1.0 mg/L","LOINC","LC"
3046828,"43605-5","Microalbumin [Mass/volume] in 4 hour Urine","LOINC","LC"
3000034,"14957-5","Microalbumin [Mass/volume] in Urine","LOINC","LC"
3039775,"53531-0","Microalbumin [Mass/volume] in Urine by Detection limit <= 1.0 mg/L","LOINC","LC"
1176069,"89999-7","Microalbumin [Mass/volume] in Urine by Detection limit <= 3.0 mg/L","LOINC","LC"
3018104,"11218-5","Microalbumin [Mass/volume] in Urine by Test strip","LOINC","LC"
46236963,"77158-4","Microalbumin [Moles/volume] in Urine by Detection limit <= 3.0 mg/L","LOINC","LC"
40761532,"58431-8","Microalbumin panel - 24 hour Urine","LOINC","LC"
37067616,"LP386990-8","Microalbumin panel | Urine | Chemistry Panels","LOINC","LC"
36660607,"95232-5","Microalbumin [Presence] in Urine by Test strip","LOINC","LC"
36662653,"LG51021-0","Microalbumin|Presence or Threshold|Urine","LOINC","LC"
40761549,"58448-2","Microalbumin ug/min [Mass/time] in 24 hour Urine","LOINC","LC"
