"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id","domain_id","group"
2774518,"0TY00Z1","Transplantation of Right Kidney, Syngeneic, Open Approach","ICD10PCS","10","Procedure","A"
2213578,"90951","End-stage renal disease (ESRD) related services monthly, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a","CPT4","CH","Observation","A"
2213581,"90954","End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physician","CPT4","CH","Observation","A"
2213583,"90956","End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or other","CPT4","CH","Observation","A"
2774517,"0TY00Z0","Transplantation of Right Kidney, Allogeneic, Open Approach","ICD10PCS","10","Procedure","B"
2774520,"0TY10Z0","Transplantation of Left Kidney, Allogeneic, Open Approach","ICD10PCS","10","Procedure","B"
2774521,"0TY10Z1","Transplantation of Left Kidney, Syngeneic, Open Approach","ICD10PCS","10","Procedure","B"
765054,"122531000119108","Lymphoproliferative disorder following kidney transplant","SNOMED","SM","Condition","B"
4059356,"161665007","History of renal transplant","SNOMED","SM","Observation","B"
2002189,"39.27","Arteriovenostomy for renal dialysis","ICD9Proc","09","Procedure","B"
36904621,"39.27","Arteriovenostomy for renal dialysis","ICD9ProcCN","09","Procedure","B"
2786488,"3E1M39Z","Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach","ICD10PCS","10","Procedure","B"
4324887,"429451003","Disorder related to renal transplantation","SNOMED","SM","Condition","B"
2109463,"49421","Insertion of tunneled intraperitoneal catheter for dialysis, open","CPT4","CH","Procedure","B"
2109581,"50325","Backbench standard preparation of living donor renal allograft (open or laparoscopic) prior to transplantation, including dissection and removal of perinephric fat and preparation of ureter(s), renal vein(s), and renal artery(s), ligating branches, as nec","CPT4","CH","Procedure","B"
2109582,"50327","Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; venous anastomosis, each","CPT4","CH","Procedure","B"
2109583,"50328","Backbench reconstruction of cadaver or living donor renal allograft prior to transplantation; arterial anastomosis, each","CPT4","CH","Procedure","B"
2109586,"50360","Renal allotransplantation, implantation of graft; without recipient nephrectomy","CPT4","CH","Procedure","B"
2109587,"50365","Renal allotransplantation, implantation of graft; with recipient nephrectomy","CPT4","CH","Procedure","B"
2003564,"54.98","Peritoneal dialysis","ICD9Proc","09","Procedure","B"
36906747,"54.98","Peritoneal dialysis","ICD9ProcCN","09","Procedure","B"
44827889,"585.6","End stage renal disease","ICD9CM","09","Condition","B"
199991,"58797008","Disorder of transplanted kidney","SNOMED","SM","Condition","B"
2788041,"5A1D00Z","Performance of Urinary Filtration, Single (Deprecated)","ICD10PCS","10","Procedure","B"
2788042,"5A1D60Z","Performance of Urinary Filtration, Multiple (Deprecated)","ICD10PCS","10","Procedure","B"
43018323,"5A1D70Z","Performance of Urinary Filtration, Intermittent, Less than 6 Hours Per Day","ICD10PCS","10","Procedure","B"
2213572,"90935","Hemodialysis procedure with single evaluation by a physician or other qualified health care professional","CPT4","CH","Procedure","B"
2213573,"90937","Hemodialysis procedure requiring repeated evaluation(s) with or without substantial revision of dialysis prescription","CPT4","CH","Procedure","B"
2213582,"90955","End-stage renal disease (ESRD) related services monthly, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or ot","CPT4","CH","Observation","B"
2213584,"90957","End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 4 or more face-to-face visits by a physicia","CPT4","CH","Observation","B"
2213585,"90958","End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 2-3 face-to-face visits by a physician or o","CPT4","CH","Observation","B"
2213586,"90959","End-stage renal disease (ESRD) related services monthly, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents; with 1 face-to-face visit by a physician or othe","CPT4","CH","Observation","B"
2213587,"90960","End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 4 or more face-to-face visits by a physician or other qualified health care professional per month","CPT4","CH","Observation","B"
2213588,"90961","End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 2-3 face-to-face visits by a physician or other qualified health care professional per month","CPT4","CH","Observation","B"
2213589,"90962","End-stage renal disease (ESRD) related services monthly, for patients 20 years of age and older; with 1 face-to-face visit by a physician or other qualified health care professional per month","CPT4","CH","Observation","B"
2213590,"90963","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents","CPT4","CH","Observation","B"
